,bike_id,bike_characteristics_string
14,15092,"неинтегрированная,прогулочный,прогулочный,любительский,ISIS,триггерныедвухрычажные,прогулочный,9,дисковый(гидравлический),любительский,дисковый(гидравлический),любительский,сподъемом,алюминиевыйсплав,есть,металл,26дюймов,100мм,алюминиевыйсплав,Hardtail(самортизационнойвилкой),пружинно-эластомерная,11/8"",прогулочный"
15,15093,"неинтегрированная,прогулочный,прогулочный,прогулочный,прогулочный,квадрат,триггерныедвухрычажные,прогулочный,24,прогулочный,дисковый(механический),прогулочный,дисковый(механический),сподъемом,сталь,26дюймов,алюминиевыйсплав,есть,металл,алюминиевыйсплав,Hardtail(самортизационнойвилкой),пружинно-масляная,11/8"",любительский,100мм"
16,15094,"неинтегрированная,начальный,начальный,прогулочный,начальный,квадрат,триггерныедвухрычажные,начальный,21,ободной(V-Brake),прогулочный,ободной(V-Brake),прогулочный,сподъемом,сталь,26дюймов,алюминиевыйсплав,есть,металл,алюминиевыйсплав,Hardtail(самортизационнойвилкой),пружинно-эластомерная,11/8"",прогулочный,75мм"
17,15095,"неинтегрированная,прогулочный,17.5см,квадрат,1,дисковый(гидравлический),любительский,дисковый(гидравлический),любительский,сподъемом,26дюймов,алюминиевыйсплав,есть,11/8"",любительский,80мм,хроммолибденовыйсплав,Hardtail(самортизационнойвилкой),пружинно-масляная"
18,15096,"неинтегрированная,прогулочный,прогулочный,прогулочный,прогулочный,квадрат,триггерныедвухрычажные,прогулочный,24,ободной(V-Brake),прогулочный,ободной(V-Brake),прогулочный,сподъемом,сталь,26дюймов,алюминиевыйсплав,есть,металл,алюминиевыйсплав,Hardtail(самортизационнойвилкой),пружинно-эластомерная,11/8"",прогулочный,100мм"
19,15097,"начальный,1,отсутствует,ножной,начальный,сподъемом,сталь,12дюймов,сталь,есть,металл,есть,жесткая,1"",алюминиевыйсплав,отсутствует"
20,15098,"неинтегрированная,прогулочный,17.5см,квадрат,1,дисковый(механический),прогулочный,ободной(V-Brake),прогулочный,сподъемом,24дюймов,алюминиевыйсплав,есть,металл,хроммолибденовыйсплав,отсутствует,жесткая,11/8"""
21,15099,"неинтегрированная,прогулочный,прогулочный,прогулочный,прогулочный,квадрат,триггерныедвухрычажные,прогулочный,24,дисковый(механический),любительский,дисковый(механический),любительский,сподъемом,сталь,26дюймов,алюминиевыйсплав,есть,металл,алюминиевыйсплав,Hardtail(самортизационнойвилкой),пружинно-эластомерная,11/8"",прогулочный,100мм"
22,15100,"1,отсутствует,ножной,начальный,сподъемом,сталь,16дюймов,сталь,есть,металл,есть,алюминиевыйсплав,отсутствует,жесткая,1"""
23,15101,"неинтегрированная,начальный,17см,квадрат,1,ободной(клещевой),прогулочный,ободной(клещевой),прогулочный,сподъемом,сталь,20дюймов,алюминиевыйсплав,есть,металл,сталь,отсутствует,жесткая,11/8"""
24,15102,"интегрированная,любительский,любительский,прогулочный,любительский,триггерныедвухрычажные,любительский,27,дисковый(гидравлический),любительский,дисковый(гидравлический),любительский,сподъемом,хроммолибденовыйсплав,кожа+кевлар,26дюймов,алюминиевыйсплав,есть,кевлар,Hardtail(самортизационнойвилкой),воздушно-масляная,11/8"",любительский,130мм,алюминиевыйсплав"
25,15103,"начальный,1,ножной,начальный,отсутствует,сподъемом,сталь,20дюймов,алюминиевыйсплав,есть,металл,алюминиевыйсплав,отсутствует,жесткая,1"""
26,15104,"неинтегрированная,начальный,начальный,квадрат,вращающаясяручка,прогулочный,7,ободной(V-Brake),прогулочный,ободной(V-Brake),прогулочный,сподъемом,сталь,20дюймов,алюминиевыйсплав,есть,металл,алюминиевыйсплав,Hardtail(самортизационнойвилкой),пружинно-эластомерная,11/8"",начальный,30мм"
27,15105,"неинтегрированная,прогулочный,17.5см,квадрат,1,отсутствует,ободной(клещевой),прогулочный,сподъемом,сталь,20дюймов,алюминиевыйсплав,есть,металл,11/8"",хроммолибденовыйсплав,отсутствует,жесткая"
28,15106,"неинтегрированная,начальный,12.7см,квадрат,1,отсутствует,ободной(V-Brake),прогулочный,сподъемом,сталь,20дюймов,алюминиевыйсплав,есть,металл,сталь,отсутствует,жесткая,11/8"""
29,15107,"неинтегрированная,начальный,начальный,начальный,квадрат,вращающаясяручка,прогулочный,21,ободной(V-Brake),прогулочный,ободной(V-Brake),прогулочный,сподъемом,сталь,24дюймов,алюминиевыйсплав,есть,металл,алюминиевыйсплав,Hardtail(самортизационнойвилкой),пружинно-эластомерная,11/8"",прогулочный,75мм"
30,15108,"неинтегрированная,прогулочный,прогулочный,любительский,17.0см,любительский,Howitzer,триггерныедвухрычажные,прогулочный,18,дисковый(гидравлический),любительский,дисковый(гидравлический),любительский,сподъемом,26дюймов,алюминиевыйсплав,есть,металл,алюминиевыйсплав,Hardtail(самортизационнойвилкой),пружинно-масляная,11/8"",любительский,100мм"
31,15109,"неинтегрированная,начальный,11.4см,квадрат,1,отсутствует,ножной,начальный,сподъемом,сталь,16дюймов,алюминиевыйсплав,есть,металл,есть,жесткая,1"",сталь,отсутствует"
32,15110,"неинтегрированная,начальный,начальный,начальный,начальный,квадрат,вращающаясяручка,начальный,21,ободной(V-Brake),прогулочный,ободной(V-Brake),прогулочный,сподъемом,сталь,24дюймов,алюминиевыйсплав,есть,металл,алюминиевыйсплав,Hardtail(самортизационнойвилкой),пружинная,11/8"",начальный,75мм"
33,15111,"неинтегрированная,прогулочный,прогулочный,прогулочный,17см,прогулочный,Howitzer,триггерныедвухрычажные,прогулочный,16,дисковый(гидравлический),любительский,дисковый(гидравлический),любительский,сподъемом,сталь,26дюймов,алюминиевыйсплав,есть,металл,алюминиевыйсплав,Hardtail(самортизационнойвилкой),пружинно-эластомерная,11/8"",прогулочный,100мм"
34,15112,"неинтегрированная,прогулочный,прогулочный,прогулочный,любительский,Octalink,триггерныедвухрычажные,прогулочный,27,дисковый(гидравлический),любительский,дисковый(гидравлический),любительский,сподъемом,сталь,алюминиевыйсплав,есть,26дюймов,120мм,102мм,алюминиевыйсплав,Fullsuspension(двухподвесный),воздушно-масляная,11/8"",любительский"
35,15113,"неинтегрированная,начальный,прогулочный,прогулочный,прогулочный,квадрат,вращающаясяручка,начальный,24,ободной(V-Brake),прогулочный,ободной(V-Brake),прогулочный,сподъемом,сталь,26дюймов,алюминиевыйсплав,есть,металл,алюминиевыйсплав,Hardtail(самортизационнойвилкой),пружинно-масляная,11/8"",любительский,63мм"
36,15114,"неинтегрированная,начальный,прогулочный,15.2см,начальный,квадрат,вращающаясяручка,прогулочный,7,ободной(V-Brake),прогулочный,ободной(V-Brake),прогулочный,сподъемом,сталь,20дюймов,алюминиевыйсплав,есть,металл,алюминиевыйсплав,Hardtail(самортизационнойвилкой),пружинная,11/8"",начальный,50мм"
37,15115,"неинтегрированная,начальный,прогулочный,прогулочный,прогулочный,квадрат,триггерныедвухрычажные,прогулочный,24,прогулочный,ободной(V-Brake),прогулочный,ободной(V-Brake),сподъемом,сталь,28дюймов,алюминиевыйсплав,есть,металл,алюминиевыйсплав,Hardtail(самортизационнойвилкой),пружинно-масляная,11/8"",любительский,63мм"
38,15116,"неинтегрированная,начальный,прогулочный,прогулочный,прогулочный,квадрат,вращающаясяручка,начальный,24,ободной(V-Brake),прогулочный,ободной(V-Brake),прогулочный,сподъемом,сталь,26дюймов,алюминиевыйсплав,есть,металл,алюминиевыйсплав,Hardtail(самортизационнойвилкой),пружинно-масляная,11/8"",любительский,63мм"
39,15117,"неинтегрированная,прогулочный,прогулочный,прогулочный,17.0см,начальный,квадрат,вращающаясяручка,прогулочный,14,ободной(V-Brake),прогулочный,ободной(V-Brake),прогулочный,сподъемом,сталь,24дюймов,алюминиевыйсплав,есть,металл,алюминиевыйсплав,Hardtail(самортизационнойвилкой),пружинная,11/8"",начальный,50мм"
40,15118,"неинтегрированная,прогулочный,прогулочный,прогулочный,прогулочный,квадрат,триггерныедвухрычажные,прогулочный,24,ободной(V-Brake),прогулочный,ободной(V-Brake),прогулочный,сподъемом,сталь,28дюймов,алюминиевыйсплав,есть,металл,алюминиевыйсплав,Hardtail(самортизационнойвилкой),пружинно-масляная,11/8"",любительский,63мм"
41,15119,"неинтегрированная,начальный,прогулочный,прогулочный,прогулочный,квадрат,триггерныедвухрычажные,прогулочный,24,дисковый(механический),прогулочный,дисковый(механический),прогулочный,сподъемом,сталь,28дюймов,алюминиевыйсплав,есть,металл,алюминиевыйсплав,Hardtail(самортизационнойвилкой),пружинно-эластомерная,11/8"",прогулочный,50мм"
42,15120,"неинтегрированная,прогулочный,прогулочный,прогулочный,17см,прогулочный,ISIS,вращающаясяручка,прогулочный,16,дисковый(механический),прогулочный,дисковый(механический),прогулочный,сподъемом,сталь,26дюймов,алюминиевыйсплав,есть,металл,алюминиевыйсплав,Hardtail(самортизационнойвилкой),пружинно-эластомерная,11/8"",прогулочный,100мм"
43,15121,"неинтегрированная,начальный,прогулочный,прогулочный,прогулочный,квадрат,триггерныедвухрычажные,начальный,24,дисковый(механический),прогулочный,дисковый(механический),прогулочный,сподъемом,сталь,алюминиевыйсплав,металл,24дюймов,75мм,алюминиевыйсплав,Hardtail(самортизационнойвилкой),пружинно-эластомерная,11/8"",прогулочный"
44,15122,"неинтегрированная,прогулочный,любительский,прогулочный,любительский,Octalink,триггерныедвухрычажные,прогулочный,27,дисковый(гидравлический),любительский,дисковый(гидравлический),любительский,сподъемом,хроммолибденовыйсплав,кожа+кевлар,26дюймов,алюминиевыйсплав,есть,кевлар,алюминиевыйсплав,Hardtail(самортизационнойвилкой),воздушно-масляная,11/8"",любительский,100мм"
45,15123,"неинтегрированная,прогулочный,17.5см,квадрат,1,ободной(клещевой),прогулочный,ободной(клещевой),прогулочный,сподъемом,сталь,20дюймов,алюминиевыйсплав,есть,металл,сталь,отсутствует,жесткая,11/8"""
46,15124,"неинтегрированная,начальный,прогулочный,прогулочный,прогулочный,квадрат,триггерныедвухрычажные,начальный,24,дисковый(механический),прогулочный,дисковый(механический),прогулочный,сподъемом,сталь,26дюймов,алюминиевыйсплав,есть,металл,алюминиевыйсплав,Hardtail(самортизационнойвилкой),пружинно-эластомерная,11/8"",прогулочный,75мм"
47,15125,"неинтегрированная,прогулочный,17см,квадрат,1,ободной(клещевой),прогулочный,ободной(клещевой),прогулочный,сподъемом,сталь,20дюймов,алюминиевыйсплав,есть,металл,сталь,отсутствует,жесткая,11/8"""
48,15126,"неинтегрированная,прогулочный,17.5см,квадрат,1,отсутствует,ободной(клещевой),прогулочный,сподъемом,сталь,20дюймов,алюминиевыйсплав,есть,металл,хроммолибденовыйсплав,отсутствует,жесткая,11/8"""
49,17027,"горный(MTB),длявзрослых,интегрированная,начальный,начальный,начальный,начальный,ободной(V-Brake),начальный,ободной(V-Brake),прямой,сталь,алюминиевыйсплав,начальный"
